Name,Role,Price,Country,Team
K Gowtham,All-rounder,9000000,India,LSG
Ayush Badoni,All-rounder,2000000,India,LSG
Deepak Hooda,All-rounder,57500000,India,LSG
Krunal Pandya,All-rounder,82500000,India,LSG
Jason Holder,All-rounder,87500000,West Indies,LSG
Rohit Sharma,Batsman,160000000,India,MI
Suryakumar Yadav,Batsman,80000000,India,MI
Tilak Varma,Batsman,17000000,India,MI
Ramandeep Singh,Batsman,2000000,India,MI
Rahul Buddhi,Batsman,2000000,India,MI
Anmolpreet Singh,Batsman,2000000,India,MI
Dewald Brevis,Batsman,30000000,India,MI
Aryan Juyal,WK-Batsman,2000000,India,MI
Ishan Kishan,WK-Batsman,152500000,India,MI
Jasprit Bumrah,Bowler,120000000,India,MI
Mohammad Arshad Khan,Bowler,2000000,India,MI
Jaydev Unadkat,Bowler,13000000,India,MI
Mayank Markande,Bowler,6500000,India,MI
Jofra Archer,Bowler,80000000,England,MI
Tymal Mills,Bowler,15000000,England,MI
Riley Meredith,Bowler,10000000,Australia,MI
Murugan Ashwin,Bowler,16000000,India,MI
Basil Thampi,Bowler,3000000,India,MI
Kieron Pollard,All-rounder,60000000,West Indies,MI
Hrithik Shokeen,All-rounder,2000000,India,MI
Arjun Tendulkar,All-rounder,3000000,India,MI
Sanjay Yadav,All-rounder,5000000,India,MI
Daniel Sams,All-rounder,26000000,Australia,MI
Tim David,All-rounder,82500000,Singapore,MI
Fabian Allen,All-rounder,7500000,West Indies,MI
Mayank Agarwal,Batsman,120000000,India,PBKS
Prerak Mankad,Batsman,2000000,India,PBKS
Bhanuka Rajapaksa,Batsman,5000000,Sri Lanka,PBKS
Shahrukh Khan,Batsman,90000000,India,PBKS
Shikhar Dhawan,Batsman,82500000,India,PBKS
Prabhsimran Singh,WK-Batsman,6000000,India,PBKS
Jitesh Sharma,WK-Batsman,2000000,India,PBKS
Jonny Bairstow,WK-Batsman,67500000,England,PBKS
Arshdeep Singh,Bowler,40000000,India,PBKS
Writtick Chatterjee,Bowler,2000000,India,PBKS
Odean Smith,Bowler,60000000,West Indies,PBKS
Sandeep Sharma,Bowler,5000000,India,PBKS
Raj Bawa,Bowler,20000000,India,PBKS
Nathan Ellis,Bowler,7500000,Australia,PBKS
Vaibhav Arora,Bowler,20000000,India,PBKS
Ishan Porel,Bowler,2500000,India,PBKS
Harpreet Brar,Bowler,38000000,India,PBKS
Rahul Chahar,Bowler,52500000,India,PBKS
Kagiso Rabada,Bowler,92500000,South Africa,PBKS
Benny Howell,All-rounder,4000000,England,PBKS
Baltej Singh,All-rounder,2000000,India,PBKS
Ansh Patel,All-rounder,2000000,India,PBKS
Liam Livingstone,All-rounder,115000000,England,PBKS
Rishi Dhawan,All-rounder,5500000,India,PBKS
Atharva Taide,All-rounder,2000000,India,PBKS
Yashasvi Jaiswal,Batsman,40000000,India,RR
Karun Nair,Batsman,14000000,India,RR
Rassie van der Dussen,Batsman,10000000,South Africa,RR
Devdutt Padikkal,Batsman,77500000,India,RR
Shimron Hetmyer,Batsman,85000000,West Indies,RR
Sanju Samson,WK-Batsman,140000000,India,RR
Jos Buttler,WK-Batsman,100000000,England,RR
Dhruv Jurel,WK-Batsman,2000000,India,RR
Shubham Garhwal,Bowler,2000000,India,RR
Kuldip Yadav,Bowler,2000000,India,RR
Nathan Coulter-Nile,Bowler,20000000,Australia,RR
Navdeep Saini,Bowler,26000000,India,RR
Kuldeep Sen,Bowler,2000000,India,RR
Obed McCoy,Bowler,7500000,West Indies,RR
Tejas Baroka,Bowler,2000000,India,RR
KC Kariappa,Bowler,3000000,India,RR
Yuzvendra Chahal,Bowler,65000000,India,RR
Prasidh Krishna,Bowler,100000000,India,RR
Trent Boult,Bowler,80000000,New Zealand,RR
Anunay Singh,All-rounder,2000000,India,RR
James Neesham,All-rounder,15000000,New Zealand,RR
Daryl Mitchell,All-rounder,7500000,New Zealand,RR
Riyan Parag,All-rounder,38000000,India,RR
Ravichandran Ashwin,All-rounder,50000000,India,RR
Virat Kohli,Batsman,150000000,India,RCB
Suyash Prabhudessai,Batsman,3000000,India,RCB
Faf du Plessis,Batsman,70000000,South Africa,RCB
Dinesh Karthik,WK-Batsman,55000000,India,RCB
Anuj Rawat,WK-Batsman,34000000,India,RCB
Finn Allen,WK-Batsman,8000000,New Zealand,RCB
Luvnith Sisodia,WK-Batsman,2000000,India,RCB
Mohammed Siraj,Bowler,70000000,India,RCB
Karn Sharma,Bowler,5000000,India,RCB
Jason Behrendorff,Bowler,7500000,Australia,RCB
Siddarth Kaul,Bowler,7500000,India,RCB
Chama Milind,Bowler,2500000,India,RCB
Josh Hazlewood,Bowler,77500000,Australia,RCB
Harshal Patel,Bowler,107500000,India,RCB
Akash Deep,Bowler,2000000,India,RCB
Glenn Maxwell,All-rounder,110000000,Australia,RCB
David Willey,All-rounder,20000000,England,RCB
Mahipal Lomror,All-rounder,9500000,India,RCB
Sherfane Rutherford,All-rounder,10000000,West Indies,RCB
Aneeshwar Gautam,All-rounder,2000000,India,RCB
Shahbaz Ahmed,All-rounder,24000000,India,RCB
Wanindu Hasaranga,All-rounder,107500000,Sri Lanka,RCB
Kane Williamson,Batsman,140000000,New Zealand,SRH
Aiden Markram,Batsman,26000000,South Africa,SRH
Shashank Singh,Batsman,2000000,India,SRH
R Samarth,Batsman,2000000,India,SRH
Rahul Tripathi,Batsman,85000000,India,SRH
Priyam Garg,Batsman,2000000,India,SRH
Glenn Phillips,WK-Batsman,15000000,New Zealand,SRH
Vishnu Vinod,WK-Batsman,5000000,India,SRH
Nicholas Pooran,WK-Batsman,107500000,West Indies,SRH
Umran Malik,Bowler,40000000,India,SRH
Saurabh Dubey,Bowler,2000000,India,SRH
Romario Shepherd,Bowler,77500000,West Indies,SRH
Fazal Haq Farooqi,Bowler,5000000,Afghanistan,SRH
J Suchith,Bowler,2000000,India,SRH
Shreyas Gopal,Bowler,7500000,India,SRH
Kartik Tyagi,Bowler,40000000,India,SRH
T Natarajan,Bowler,40000000,India,SRH
Bhuvneshwar Kumar,Bowler,42000000,India,SRH
Abdul Samad,All-rounder,40000000,India,SRH
Marco Jansen,All-rounder,42000000,South Africa,SRH
Sean Abbott,All-rounder,24000000,Australia,SRH
Abhishek Sharma,All-rounder,65000000,India,SRH
Washington Sundar,All-rounder,87500000,India,SRH
